trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseToRevenue,enterpriseToEbitda,profitMargins,operatingMargins,grossMargins,ebitdaMargins,returnOnEquity,returnOnAssets,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,operatingCashflow,trailingEps,forwardEps,bookValue,revenuePerShare,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,marketCap,dividendYield,payoutRatio,ticker
,36.74359,2.8757777,0.29924056,,1.392,7.819,-0.01349,0.02846,0.46328998,0.17799999,-0.115200005,0.038540002,-0.157,,,1537.355,2.011,1.74,526000000.0,4243099904.0,284524992.0,289000000.0,-0.56,0.39,4.983,48.861,0.977,18.45,11.89,998565760.0,6.98,1.1364,SBGI
8.269841,8.9827585,1.926063,0.41781408,,0.794,7.24,0.05292,0.05928,0.51622003,0.109610006,0.27535,0.067490004,0.013,0.089,0.039,196.796,2.26,0.461,149162000.0,1562966016.0,176020624.0,274831008.0,1.89,1.74,8.115,36.771,1.131,17.4,7.54,1546507136.0,,0.0,SBH
43.51064,4.4945054,0.9669488,2.2246153,,2.965,10.778,0.05849,0.14973,0.34299,0.27508,0.02495,0.018509999,-0.234,-0.77,-0.772,50.951,1.725,1.393,443358016.0,1230669952.0,232294496.0,271140992.0,0.47,4.55,21.149,9.057,0.768,20.87,12.06,2337690368.0,1.47,1.6809,SBLK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBOW
13.246778,,139.1296,12.569643,,12.471,,0.95001,0.96393996,1.0,0.0,9.86823,5.85726,0.288,0.298,0.298,,24.907,24.907,8221344.0,0.0,,,5.43,,0.517,5.723,0.264,84.39,58.25,1048692288.0,7.18,1.0012001,SBR
26.41096,28.352942,1.7018272,6.4352098,,9.646,15.816,0.23436001,0.31061,0.66634005,0.6099,0.06284,0.03232,0.073,-0.292,-0.243,92.011,2.991,2.618,204420992.0,2601117952.0,197326128.0,341153984.0,0.73,0.68,11.329,3.138,0.661,19.97,15.6,4807461888.0,6.22,1.6438,SBRA
13.278261,10.79152,1.0998272,3.8868716,,4.116,,0.29626,0.14528,0.0,0.0,0.08538,0.00836,-0.304,-0.764,-0.761,,,,474040992.0,528713984.0,,108895000.0,2.3,2.83,27.768,7.811,0.636,35.99,25.85,918646528.0,4.72,0.6261,SBSI
,42.58621,0.8658768,0.0794259,,0.544,3.443,-0.03181,-0.0017499999,0.14568,0.15804,-0.057540003,-0.00569,-0.008,,,96.647,2.889,1.519,21012000768.0,42858000384.0,-6160249856.0,19765999616.0,-0.3,0.29,14.263,78.918,0.888,13.4,3.05,8871237632.0,,0.0,SBSW
52.22086,22.881721,-11.951699,2.602972,,3.226,21.993,0.04992,0.10976,0.23045999,0.14669,,0.07266,0.055,-0.854,-0.853,,0.723,0.465,3467000064.0,26628499456.0,1924950016.0,4747500032.0,1.63,3.72,-7.122,32.733,0.977,117.46,75.5,96789954560.0,2.91,1.4969001,SBUX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBXC
